id;date;price;level;levels;rooms;area;kitchen_area;geo_lat;geo_lon;building_type;object_type;postal_code;street_id;id_region;house_id
302;2021-01-01;7134716;6;14;1;38.9;16.5;55.590612;37.446138;0;2;;587420;77;2837707
303;2021-01-01;22500000;3;22;3;100.2;15;55.6944515;37.4702137;0;0;119361;523491;77;2540778
304;2021-01-01;7967075;11;14;1;42.2;19.7;55.590612;37.446138;0;2;;587420;77;2837707
305;2021-01-01;4250000;4;8;2;54.6;13.5;55.125896;82.894414;4;2;630040;579548;54;1627459
306;2021-01-01;6873128;3;11;3;73;11.1;64.5288278;40.554559;6;2;163002;327981;29;2741454
307;2021-01-01;7496646;14;14;1;38.6;17.8;55.590612;37.446138;0;2;;587420;77;2837707
308;2021-01-01;3550000;7;8;-1;41.8;3.9;55.125896;82.894414;4;2;630040;579548;54;1627459
309;2021-01-01;2800000;4;5;2;45;6;57.009931;40.985895;4;0;153037;;37;
310;2021-01-01;3500000;6;7;1;41.4;10.5;57.1529744;65.5344099;4;0;625055;443439;72;1811083
311;2021-01-01;7421470;14;15;1;36.3;10;55.590612;37.446138;0;2;;587420;77;2837707
312;2021-01-01;3400000;1;10;-1;41.6;6.3;55.125896;82.894414;4;2;630040;579548;54;1627459
313;2021-01-01;7315053;8;9;1;38.6;17.8;55.590612;37.446138;0;2;;587420;77;2837707
314;2021-01-01;7580681;14;15;1;38.6;16.3;55.590612;37.446138;0;2;;587420;77;2837707
315;2021-01-01;9500000;6;12;3;140;17;57.159367;65.54469;4;0;625002;483540;72;2135138
316;2021-01-01;2800000;2;5;1;27;6;44.7017002;37.7870984;2;0;353905;;23;
317;2021-01-01;5978784;10;16;-1;25.4;-100;55.4846387;37.3067639;3;2;108840;;77;2377550
318;2021-01-01;7446245;12;15;2;37.7;16.3;55.7540471;37.620405;0;2;101000;;77;1137040
319;2021-01-01;8293011;8;15;3;55.7;18.9;55.7540471;37.620405;0;2;101000;;77;1137040
320;2021-01-01;4450000;2;10;2;59.8;12.2;55.125896;82.894414;4;2;630040;579548;54;1627459
321;2021-01-01;2650000;1;5;1;33;6;44.7017002;37.7870984;2;0;353905;;23;
322;2021-01-01;2460000;2;5;1;30;0;57.1453805;65.5518711;4;0;625048;223317;72;1818181
323;2021-01-01;7950000;1;8;2;75.9;23.7;55.551725;37.7061984;0;0;142700;;50;1762086
324;2021-01-01;2443140;7;10;2;64.5;13;51.533557;46.034257;4;2;410000;;64;1179151
325;2021-01-01;4160000;9;9;1;48.8;13.4;54.9659216;82.9617704;4;0;630033;415509;54;1094157
326;2021-01-01;5011344;3;17;1;32.69;9.57;55.5639247;37.8255637;4;2;142714;;50;1704996
327;2021-01-01;7183603;4;14;1;38.7;17.9;55.590612;37.446138;0;2;;587420;77;2837707
328;2021-01-01;7748296;10;14;1;41.4;19.4;55.590612;37.446138;0;2;;587420;77;2837707
329;2021-01-01;9177754;6;12;1;43.9;18.4;55.4846387;37.3067639;0;2;108840;;77;2377550
330;2021-01-01;3950000;1;12;3;72;10;53.2267751;44.9262048;0;0;440066;;58;
331;2021-01-01;4300000;7;8;2;53.5;11.1;55.125896;82.894414;4;2;630040;579548;54;1627459
332;2021-01-01;9181590;4;8;1;43.3;19;55.4846387;37.3067639;0;2;108840;;77;2377550
333;2021-01-01;4486440;4;16;3;68.6;12.7;56.8959154;60.6143715;0;2;620000;540734;66;1654993
334;2021-01-01;1520000;5;10;1;33;10;59.1890518;39.9323019;4;0;160033;;35;
335;2021-01-01;4577667;23;25;4;86.42;0;54.6321466;39.6928277;0;2;390013;428357;62;2072328
336;2021-01-01;7215126;12;15;1;38.8;16.4;55.590612;37.446138;0;2;;587420;77;2837707
337;2021-01-01;2900000;5;7;2;90;-100;42.979927;47.461823;4;0;367027;;5;
338;2021-01-01;5200000;9;10;-1;68.6;7.1;55.125896;82.894414;4;2;630040;579548;54;1627459
339;2021-01-01;2500000;3;11;1;44;0;52.5993402;39.5682171;0;0;398024;;48;
340;2021-01-01;2450000;16;18;1;37.21;-100;45.013122;39.008272;0;0;350040;334498;23;1409668
341;2021-01-01;7477317;3;14;1;41.4;19.4;55.590612;37.446138;0;2;;587420;77;2837707
342;2021-01-01;900000;1;3;1;37;-100;45.9643212;40.6578709;4;0;353021;501291;23;645104
343;2021-01-01;7557764;5;14;1;41.4;19.4;55.590612;37.446138;0;2;;587420;77;2837707
344;2021-01-01;3450000;1;10;-1;42.8;1;55.125896;82.894414;4;2;630040;579548;54;1627459
345;2021-01-01;4250000;5;8;2;54.6;13.5;55.125896;82.894414;4;2;630040;579548;54;1627459
346;2021-01-01;17140000;2;9;3;61.4;6.5;55.740456;37.56735;4;0;121059;287577;77;1038722
347;2021-01-01;7814056;12;14;1;41.3;19.1;55.590612;37.446138;0;2;;587420;77;2837707
348;2021-01-01;3600000;4;8;-1;41.8;3.9;55.125896;82.894414;4;2;630040;579548;54;1627459
349;2021-01-01;1350000;11;17;-1;19.6;3;54.934666;83.11958;0;0;630068;312570;54;2047558
350;2021-01-01;2100000;2;14;1;52.9;13;51.533557;46.034257;4;2;410000;;64;1179151
351;2021-01-01;3450000;2;10;-1;41.6;6.3;55.125896;82.894414;4;2;630040;579548;54;1627459
352;2021-01-01;2190000;3;9;3;64.4;8;48.6785456;44.4513446;2;0;400002;329938;34;2444154
353;2021-01-01;4900000;5;10;-1;68.6;7.1;55.125896;82.894414;4;2;630040;579548;54;1627459
354;2021-01-01;5800000;10;10;3;79.7;16.4;55.125896;82.894414;4;2;630040;579548;54;1627459
355;2021-01-01;9000000;7;12;3;113.5;0;54.516757;36.282433;0;0;248018;;40;
356;2021-01-01;400000;2;2;3;40.6;-100;56.0513023;60.176579;4;0;456818;;74;1259622
357;2021-01-01;1860000;2;3;2;40;7;57.5963172;39.8840237;4;0;150030;283945;76;1350750
358;2021-01-01;6600000;15;16;2;62;11;55.630367;38.0542662;3;0;140140;255723;50;1727236
359;2021-01-01;3570000;2;6;2;44.4;0;58.007685;56.223002;0;0;614068;;59;
360;2021-01-01;8546021;2;15;1;47.3;17.6;55.590612;37.446138;0;2;;587420;77;2837707
361;2021-01-01;1850000;10;21;-1;25;0;44.679269;37.77732;3;0;353925;;23;
362;2021-01-01;4830000;4;10;-1;70.7;5.2;55.125896;82.894414;4;2;630040;579548;54;1627459
363;2021-01-01;1450000;1;2;1;35.3;7.1;48.6908014;44.4712863;0;0;400120;;34;
364;2021-01-01;1975000;3;5;1;30.8;0;54.1518;37.59137;0;0;300026;;71;
365;2021-01-01;6144912;12;12;1;49.12;20.3;60.060873;30.403041;0;2;188660;;47;
366;2021-01-01;3600000;9;9;1;48.7;10;48.7256265;44.5270099;3;0;400050;574619;34;2147960
367;2021-01-01;1710720;12;17;-1;27;3;54.9883989;82.7836892;3;2;630121;148589;54;2314842
368;2021-01-01;3950000;1;9;2;51;9;50.5556839;36.5755049;2;0;308004;142358;31;2484431
369;2021-01-01;1490000;6;10;1;34;10;59.1890518;39.9323019;4;0;160033;;35;
370;2021-01-01;1050000;4;4;2;43.2;5.9;44.15814;133.25696;4;0;692337;;68;
371;2021-01-01;1499000;5;5;1;32;8;43.5060745;43.6461525;4;0;360024;150266;7;2145863
372;2021-01-01;4400000;1;10;-1;58.1;5.6;55.125896;82.894414;4;2;630040;579548;54;1627459
373;2021-01-01;1200000;8;8;2;54;-100;58.6281032;59.855919;4;0;624222;469994;66;1569097
374;2021-01-01;1975000;5;10;-1;21.9;-100;60.802338;30.1178839;4;2;188750;;47;2813621
375;2021-01-01;4870000;9;12;2;61.2;12.9;54.5786361;36.2568607;3;0;248012;325197;40;2406593
376;2021-01-01;1250000;6;10;-1;24.1;-100;55.0981614;61.4824773;2;0;454139;256024;74;2273703
377;2021-01-01;5150000;9;10;4;83.6;10.3;44.872946;37.3296834;2;0;353454;543620;23;2307522
378;2021-01-01;1600000;1;5;2;36.6;18.6;51.836534;55.123824;0;0;460038;;56;
379;2021-01-01;11750000;17;17;3;76.6;11;55.669064;37.767284;2;0;109559;145972;77;658899
380;2021-01-01;3450000;2;9;2;45;-100;55.0116976;82.951574;2;0;630009;306574;54;2499012
381;2021-01-01;1975000;2;2;3;52.2;7.3;56.8453617;35.8383495;6;0;170004;171437;69;2068809
382;2021-01-01;4100000;7;10;4;82.4;10.2;44.7416954;37.725431;2;0;353912;568636;23;1225004
383;2021-01-01;7366780;12;15;1;36.8;16.6;55.590612;37.446138;0;2;;587420;77;2837707
384;2021-01-01;4100000;5;9;3;64.3;8.5;44.6872421;37.7702574;2;0;353922;347807;23;694218
385;2021-01-01;2250000;9;17;1;46.4;15.5;51.8107347;55.1780985;2;0;460060;196648;56;2580934
386;2021-01-01;8195714;14;15;1;39.5;17.7;55.590612;37.446138;0;2;;587420;77;2837707
387;2021-01-01;16053459;4;9;4;93.9;18;55.590612;37.446138;0;2;;587420;77;2837707
388;2021-01-01;4800000;9;10;2;61.8;13.7;55.125896;82.894414;4;2;630040;579548;54;1627459
389;2021-01-01;4900000;8;10;-1;70.7;5.2;55.125896;82.894414;4;2;630040;579548;54;1627459
390;2021-01-01;6500000;7;14;2;57;8.1;55.6586907;37.2049024;2;0;143072;386296;50;1921879
391;2021-01-01;2950000;1;5;2;53.5;-100;57.1488086;65.4926527;4;0;625025;;72;
392;2021-01-01;1370000;3;3;2;37.8;5;48.794055;44.5836444;0;0;400065;;34;
393;2021-01-01;15495861;2;9;4;94;18;55.590612;37.446138;0;2;;587420;77;2837707
394;2021-01-01;6996766;10;16;1;38.8;16.4;55.590612;37.446138;0;2;;587420;77;2837707
395;2021-01-01;1850000;5;5;3;42.4;0;51.770405;55.11902;0;0;460024;;56;
396;2021-01-01;3300000;7;9;2;57;12;56.655857;124.7219033;2;0;678960;201418;14;1786420
397;2021-01-01;19856340;5;8;2;36.9;16.8;59.906273;30.31745;3;2;;;78;
398;2021-01-01;3672900;2;25;-1;19.8;5.1;55.701465;37.883626;2;2;140007;467353;50;2694227
399;2021-01-01;9270720;15;25;3;92.8;22.9;55.701465;37.883626;2;2;140007;467353;50;2694227
400;2021-01-01;2899000;3;9;4;87;9;54.6362847;39.7192688;5;0;390000;511485;62;1915097
401;2021-01-01;5200000;8;10;-1;68.3;5;55.125896;82.894414;4;2;630040;579548;54;1627459
402;2021-01-01;11966300;9;11;2;70.4;10.9;44.5011541;34.1728905;0;0;298600;456411;91;2515484
403;2021-01-01;4500000;7;9;3;62;7;44.6890581;37.7793166;5;0;353920;246582;23;1386987
404;2021-01-01;1850000;5;25;1;50.4;20;51.5034082;46.1579123;3;2;413106;193591;64;1282933
405;2021-01-01;4900000;6;10;-1;68.6;7.1;55.125896;82.894414;4;2;630040;579548;54;1627459
406;2021-01-01;4850000;3;10;-1;67.2;7.1;55.125896;82.894414;4;2;630040;579548;54;1627459
407;2021-01-01;4800000;3;10;-1;70.7;5.2;55.125896;82.894414;4;2;630040;579548;54;1627459
408;2021-01-01;4700000;1;10;-1;65.8;5.1;55.125896;82.894414;4;2;630040;579548;54;1627459
409;2021-01-01;1160000;3;6;1;34;8;54.2420862;49.5796926;2;0;433504;;73;
410;2021-01-01;13700000;12;25;1;57;12.5;55.748568;37.8612271;0;0;143965;;50;
411;2021-01-01;19121000;7;15;2;63;21;55.807658;37.635045;3;2;;412511;77;1503123
412;2021-01-01;7275600;14;16;1;21.5;-100;55.6023535;37.7335765;0;2;115583;;77;
413;2021-01-01;4550000;6;10;2;61.8;13.7;55.125896;82.894414;4;2;630040;579548;54;1627459
414;2021-01-01;5771500;9;11;1;33;0;44.5011541;34.1728905;0;0;298600;456411;91;2515484
415;2021-01-01;1840000;4;5;1;31;0;56.8772263;53.2765836;2;0;426053;177797;18;1104205
416;2021-01-01;4550000;7;10;2;61.8;13.7;55.125896;82.894414;4;2;630040;579548;54;1627459
417;2021-01-01;2090000;7;9;1;35;0;53.226192;44.921154;0;0;440060;;58;
418;2021-01-01;3400000;3;3;1;53;15;44.7503898;37.7156609;5;0;353960;;23;
419;2021-01-01;4800000;5;10;-1;68.3;5;55.125896;82.894414;4;2;630040;579548;54;1627459
420;2021-01-01;3300000;8;14;2;59.8;10;55.3123327;86.1065506;4;2;650040;;42;
421;2021-01-01;3700000;4;4;3;104;0;51.3015825;37.8975931;4;0;309511;301193;31;2005381
422;2021-01-01;4750000;2;10;-1;67.4;5;55.125896;82.894414;4;2;630040;579548;54;1627459
423;2021-01-01;5450000;2;10;3;79.7;16.4;55.125896;82.894414;4;2;630040;579548;54;1627459
424;2021-01-01;8457460;26;33;1;40.7;17.7;55.8813878;37.6354045;3;2;127081;571206;77;692874
425;2021-01-01;12624923;13;15;2;63.18;22;60.0123425;30.0017939;0;2;197755;335187;78;2537251
